src_patientid,firstname,lastname,middlename,ssn,phonenumber,gender,dob,address
HOSP1-000152,Michael,Cook,O,492-78-5490,(540)782-9834x889,Male,"Saturday, December 22, 1923","473 Sarah Ville, East Tracyshire, MD 45116"
HOSP1-000178,Michael,Parks,I,870-50-9493,+1-596-823-3637x660,Male,"Monday, December 20, 2004","4776 Rhodes Drive Apt. 287, Amberfurt, TX 32616"
HOSP1-000405,Michael,Ibarra,A,683-82-4743,(586)679-0961,Male,"Wednesday, April 11, 1956","4159 Tonya Mews, New Daniellefurt, MT 74856"
HOSP1-000440,Michael,Joseph,V,834-30-3730,001-787-375-2934x874,Male,"Wednesday, May 28, 1975","204 Ali Rue, South Edwardland, OR 66269"
HOSP1-000594,Michael,Frazier,U,248-52-9568,310-509-2124x43345,Male,"Wednesday, July 5, 1995","8583 Vanessa Motorway Suite 728, Nicholasville, AL 40786"
HOSP1-000635,Michael,Reynolds,L,234-89-2071,+1-485-895-7978x69570,Male,"Sunday, December 31, 2023","4397 Morris Meadow Apt. 078, Clarkeborough, NV 64261"
HOSP1-000652,Michael,Sawyer,A,177-87-0109,001-502-868-6029x44222,Male,"Wednesday, March 3, 1943","81835 Davis Key Apt. 011, Christinaton, MT 09485"
HOSP1-000671,Michael,Bolton,P,500-17-2190,+1-749-309-3968x326,Male,"Saturday, July 30, 1994","36440 Cohen Estate, Bentleyfort, IL 18810"
HOSP1-000954,Michael,Roy,N,326-88-7398,(993)707-9201,Male,"Saturday, April 22, 1961","78727 Taylor Isle, Kevinside, MI 97029"
HOSP1-000987,Michael,Allen,V,077-36-5605,+1-978-319-1001x59671,Male,"Friday, February 20, 2009","81113 Mary Manors Suite 084, East Andrea, KY 10801"
HOSP1-001105,Michael,Waters,B,169-64-0620,664.254.9884,Male,"Sunday, September 12, 1954","289 Dennis Summit Suite 275, Millerbury, NY 97839"
HOSP1-001107,Michael,Ramos,X,102-40-7286,+1-621-683-3785x2740,Male,"Wednesday, June 13, 2012","783 Donna Burgs, Heiditon, LA 53665"
HOSP1-001132,Michael,Riley,K,694-16-3236,(910)968-2678,Male,"Wednesday, December 28, 1977","92700 Rebecca Forges, Sarahfort, HI 47757"
HOSP1-001262,Michael,Terry,Y,656-63-2443,716.776.6802,Male,"Thursday, September 3, 1942","05800 Kara Roads, West Martinshire, FM 46344"
HOSP1-001273,Michael,Clements,X,874-81-8044,+1-386-472-6643x97093,Male,"Wednesday, February 14, 1973","90283 Contreras Avenue, Lake Christopherview, AR 23976"
HOSP1-001329,Michael,Marks,Z,427-62-3661,+1-709-874-3084x3582,Male,"Thursday, March 30, 1989","2608 Robert Forest Apt. 959, West Heather, NE 22451"
HOSP1-001354,Michael,Greene,D,616-94-3902,(424)921-8764,Male,"Friday, August 29, 2014","9852 Taylor Course, Fergusontown, MS 70911"
HOSP1-001575,Michael,Kline,I,878-56-4850,001-445-787-8150x66079,Male,"Friday, October 14, 1949","8399 Jason Haven Apt. 232, Christieberg, NC 60954"
HOSP1-001582,Michael,Owens,T,612-94-7519,(241)763-8426x7129,Male,"Tuesday, February 15, 2000","665 Alexander Brook Apt. 431, Edwinstad, AR 52142"
HOSP1-001631,Michael,Rodriguez,I,874-02-4773,917.813.1789x49714,Male,"Monday, November 1, 1954","32157 Wells Rapid Apt. 540, Oconnormouth, NC 39877"
HOSP1-001680,Michael,Mullen,F,080-76-8540,236.253.5446x5566,Male,"Monday, November 26, 2007","USNS Drake, FPO AP 98378"
HOSP1-001703,Michael,Hawkins,F,665-56-0738,(485)318-9388,Male,"Saturday, March 22, 1997","61141 Paula Cove, Robertmouth, DE 34969"
HOSP1-001711,Michael,Gutierrez,L,671-04-4606,001-651-869-2290x22737,Male,"Saturday, October 10, 1964","427 Charles Falls Suite 895, Port Lynn, MN 56204"
HOSP1-001850,Michael,Hernandez,F,503-57-4343,(831)737-8962x5558,Male,"Wednesday, April 7, 1954","4656 Gonzales Point, Lisaborough, ME 05292"
HOSP1-001886,Michael,Davidson,Q,737-49-3580,657-420-4170,Male,"Saturday, August 30, 1958","560 Brian Flats, Howellfort, RI 21117"
HOSP1-001905,Michael,Williams,G,503-20-4507,+1-263-742-9990x5197,Male,"Wednesday, June 22, 1983","5930 Ryan Center, West Tracy, DE 32660"
HOSP1-002176,Michael,Hays,X,537-54-1384,796.754.6180,Male,"Tuesday, October 16, 1979","84162 Brown Crossing, Lake Peggy, WY 07291"
HOSP1-002243,Michael,Lopez,I,716-51-2759,+1-414-278-8785x1571,Male,"Saturday, January 18, 1941","3042 Ricardo Turnpike, New Rebecca, MN 67514"
HOSP1-002252,Michael,Beasley,P,419-22-7859,(410)386-0201,Male,"Sunday, December 12, 1926","1615 Henderson Canyon Suite 328, Lynchside, DC 22262"
HOSP1-002303,Michael,Gray,K,874-35-4709,(806)893-9504,Male,"Wednesday, November 11, 1970","646 Jennifer Point, Lake Angela, UT 33987"
HOSP1-002305,Michael,Barnett,D,192-35-4961,430.562.2143,Male,"Wednesday, May 13, 1998","527 Wise Stream, Port Karenfurt, TX 62181"
HOSP1-002535,Michael,Brown,R,858-26-9105,2163493142,Male,"Tuesday, February 24, 1931","231 Kelly Lane Suite 414, Lake Nicole, NY 12377"
HOSP1-002559,Michael,Carter,L,015-75-0747,319.885.0312x2161,Male,"Thursday, August 13, 1931","9799 Johnson Prairie, South Carl, SD 70475"
HOSP1-002582,Michael,Andersen,J,781-50-9791,328.383.5973x6792,Male,"Saturday, April 11, 1936","290 Jackson Islands Apt. 100, Mosestown, VI 79223"
HOSP1-002585,Michael,Madden,A,608-47-5212,001-463-376-0791x4740,Male,"Monday, November 2, 1931","56943 Russell Cape Apt. 128, South Krystaltown, RI 26743"
HOSP1-002602,Michael,Morales,E,612-85-4973,+1-692-621-5194x578,Male,"Saturday, September 19, 1987","953 James Square Suite 912, Ashleyburgh, SD 76651"
HOSP1-002621,Michael,Irwin,S,444-06-9867,333-278-8792,Male,"Sunday, August 4, 1974","848 Jeremy Street, Douglasmouth, TX 53640"
HOSP1-002624,Michael,Crosby,Q,472-47-5699,915-912-6970x252,Male,"Thursday, May 5, 2005","41843 David Fort Suite 613, Cookside, PW 96188"
HOSP1-002806,Michael,Gray,F,245-06-6415,693-536-9767,Male,"Monday, December 26, 2022","0645 Peters Avenue Apt. 521, East Richard, UT 71898"
HOSP1-002929,Michael,Vaughn,M,404-92-6365,444.977.4141,Male,"Thursday, August 20, 1992","6008 Crane Trace, Lake Kathryn, VA 51555"
HOSP1-003019,Michael,Holland,F,404-78-3402,+1-373-512-1273x685,Male,"Tuesday, October 23, 1973","7546 Harvey Mill, Port Rebeccaton, DC 96816"
HOSP1-003078,Michael,Ryan,E,496-46-8986,001-528-797-6480x3819,Male,"Monday, February 7, 1927","446 Kyle Garden Suite 914, Isabelland, IN 12527"
HOSP1-003125,Michael,Blake,Q,298-19-1937,366-743-1760x76477,Male,"Saturday, June 29, 1940","1224 Nancy Valleys, Lake Sean, AS 93877"
HOSP1-003416,Michael,Soto,C,328-61-2281,+1-700-587-5291x31704,Male,"Tuesday, December 1, 1959","8013 Robert Mission, Thompsonbury, NY 21298"
